Wall time,Step,Value
1706302875.4478736,1077,5.355772678479113e-19
1706302875.8744566,1079,6.547276720024997e-19
1706302876.952834,1084,5.506440421730774e-18
1706302877.1661916,1085,7.667095738723386e-19
1706302877.382029,1086,5.392548094537455e-19
1706302878.897694,1093,5.885186882076834e-19
1706302879.1176882,1094,3.0381162581760404e-19
1706302880.4173362,1100,4.0663185616856463e-19
1706302881.2741165,1104,1.507608631091185e-18
1706302881.498029,1105,6.607437565975978e-19
1706302881.7163546,1106,7.06770205530368e-19
1706302883.6819844,1115,6.955493454247213e-19
1706302884.1099133,1117,5.323564850365713e-19
1706302884.7565656,1120,6.163094752476274e-19
1706302886.0644834,1126,9.386234304779081e-18
1706302886.2724316,1127,8.541694479891016e-19
1706302887.1573956,1131,5.642330273146445e-19
1706302887.8154292,1134,6.178123590230597e-19
1706302888.0293114,1135,6.582430345094852e-19
1706302888.242877,1136,2.670802054280923e-19
1706302888.9083056,1139,8.852769190926536e-19
1706302891.30242,1150,5.689119227507624e-19
1706302891.9703414,1153,3.394121610627851e-19
1706302892.62029,1156,1.1466011623789015e-18
1706302892.839725,1157,4.2488571603486685e-19
1706302893.0522656,1158,6.807669040953627e-19
1706302893.6995487,1161,7.165927168104937e-19
1706302893.924851,1162,1.0395451727556041e-18
1706302894.1441283,1163,3.3761188000774586e-19
1706302897.4003901,1178,6.59907166805577e-19
1706302898.0579915,1181,7.384488448468878e-19
1706302898.5067656,1183,7.036995560002063e-19
1706302898.7264457,1184,4.105809973586518e-19
1706302899.1603708,1186,8.812984905390032e-19
1706302899.3729012,1187,6.627912354088197e-19
1706302900.0313647,1190,6.52972549839027e-19
1706302900.6895459,1193,5.551604586573746e-19
1706302900.9293854,1194,6.932409945278155e-19
1706302901.3451798,1196,5.317393049020301e-19
1706302901.7694473,1198,5.922228029906958e-19
1706302902.1948483,1200,5.727797158974838e-19
1706302902.615836,1202,9.827815575803777e-19
1706302903.249572,1205,5.163609833389037e-19
1706302903.672576,1207,8.206095414656947e-19
1706302904.0896833,1209,9.976751513045481e-19
1706302904.5007691,1211,5.466199222303411e-19
1706302904.9247804,1213,7.937035274884527e-19
1706302905.3410127,1215,8.808722857283853e-19
1706302907.456177,1225,4.668166903573104e-19
1706302908.2889245,1229,1.048251662293031e-18
1706302909.1190412,1233,7.76607410286995e-19
1706302909.3291793,1234,6.360095053186138e-19
1706302909.5414798,1235,1.0778529408987005e-18
1706302909.961717,1237,8.707316718039446e-19
1706302910.5887365,1240,1.4465440903209892e-18
1706302911.2103324,1243,6.611132995362559e-19
1706302911.6272545,1245,1.2416562088801264e-18
1706302912.2648227,1248,8.380527126329067e-19
1706302913.5257907,1254,7.4589021333620315e-19
1706302913.9501407,1256,8.415893750406654e-19
1706302914.3634903,1258,1.0748652679237356e-18
1706302914.56911,1259,1.4124902018755233e-18
1706302915.2006683,1262,1.061311499996748e-18
1706302915.4121368,1263,1.1202496696047997e-18
1706302915.6228704,1264,1.0018054708981785e-18
1706302916.2454243,1267,9.060827862450468e-19
1706302917.9200556,1275,8.632834790745757e-19
1706302918.9665456,1280,8.840717169401638e-19
1706302919.3850157,1282,7.633456371162386e-19
1706302920.6387446,1288,1.053453801165377e-18
1706302921.488612,1292,1.3525525333897114e-16
1706302921.6966898,1293,9.227121150870831e-19
1706302921.90966,1294,1.036823438347575e-18
1706302922.113227,1295,1.058647771629174e-18
1706302923.3807435,1301,9.912094940465274e-19
1706302924.0241215,1304,1.0031510869596492e-18
1706302925.495923,1311,7.786530796406269e-19
1706302925.9214308,1313,1.1451545268851228e-18
1706302926.5578318,1316,1.0858759724550055e-18
1706302926.777914,1317,1.1190442606571568e-18
1706302927.4103022,1320,8.3328577416034015e-19
1706302927.6246772,1321,8.88035049447635e-19
1706302928.696619,1326,9.360848338574982e-19
1706302928.9086263,1327,9.750570348276278e-19
1706302929.1237547,1328,8.237365426750866e-19
1706302929.75389,1331,1.0431712223683069e-18
1706302930.3859253,1334,1.1857157418119668e-18
1706302930.6002164,1335,8.702524240365467e-19
1706302930.8087993,1336,8.96751361754836e-19
1706302931.0165498,1337,7.381940215194332e-19
1706302931.2265604,1338,7.491561808885039e-19
1706302932.4959722,1344,9.30078365237021e-19
1706302933.7765272,1350,1.0388620249672119e-18
1706302935.0457358,1356,3.2133752021595014e-18
1706302935.8889153,1360,8.267627312473235e-19
1706302936.3056767,1362,7.820838112311906e-19
1706302937.3495657,1367,1.0800016459373836e-18
1706302938.175069,1371,8.967200322891356e-19
1706302939.6588385,1378,8.179358352319819e-19
1706302940.0796087,1380,7.930710962113676e-19
1706302940.7122588,1383,7.340852086217292e-19
1706302941.1283963,1385,6.912532795158506e-19
1706302941.3385448,1386,6.111927944723158e-19
1706302941.9660227,1389,8.568010714091508e-19
1706302942.1722612,1390,7.547220207364318e-19
1706302942.5931091,1392,3.1866385327331643e-17
1706302942.8047245,1393,1.2494797865112295e-18
1706302943.4312918,1396,7.663739453387952e-19
1706302946.9821079,1413,1.2680525762024592e-18
1706302947.1879072,1414,1.2289999319177588e-18
1706302947.3980246,1415,1.3560660409441733e-18
1706302947.6098123,1416,1.3640298256891042e-18
1706302948.462839,1420,9.458923007902332e-19
1706302949.0956461,1423,9.783126109234834e-19
1706302949.9265227,1427,1.3607248255516485e-18
1706302950.1305299,1428,9.590772495615987e-19
1706302950.3462222,1429,1.2462416846058141e-18
1706302951.1915386,1433,1.1338087108081923e-18
1706302951.4021673,1434,1.017426880163819e-18
1706302951.6110601,1435,8.79452430206938e-19
1706302952.0270817,1437,7.389588016945268e-19
1706302952.4431596,1439,1.0501589339904252e-18
1706302952.8525915,1441,2.630534436772747e-18
1706302953.2689714,1443,9.529323315860954e-19
1706302954.9172823,1451,8.88117147123431e-19
1706302955.9733999,1456,8.095937187543846e-19
1706302956.1825426,1457,8.0949714541786905e-19
1706302958.0541782,1466,9.508296384689856e-19
1706302958.2574542,1467,1.2733193385601609e-18
1706302960.560139,1478,1.3964587178212096e-18
1706302961.5952196,1483,1.0115361134315226e-18
1706302962.2175546,1486,1.461909383789468e-18
1706302962.4266105,1487,1.16560977285537e-18
1706302963.0466852,1490,1.3943492004640463e-18
1706302963.46821,1492,1.0867798740693728e-18
1706302963.6815803,1493,1.3506584510871845e-18
1706302965.3488388,1501,1.1109941389357907e-18
1706302965.5630426,1502,7.011127554295998e-19
1706302965.772193,1503,8.569943214797585e-19
1706302965.983435,1504,1.2047207333732555e-18
1706302966.6102192,1507,9.88864333612363e-19
1706302967.0247457,1509,1.310963914647143e-18
1706302967.2285292,1510,8.776484526885364e-19
1706302967.4340665,1511,7.419478188379871e-19
1706302969.104543,1519,1.387165653831906e-18
1706302970.139006,1524,1.7897986087266596e-18
1706302970.344058,1525,2.2524086720788316e-18
1706302970.9567993,1528,1.0717746109625077e-18
1706302972.4088788,1535,1.1565561776534006e-18
1706302972.8190207,1537,1.0639528944877829e-18
1706302974.902866,1547,1.5122879918163975e-18
1706302975.9377344,1552,1.687871138901191e-18
1706302976.1494615,1553,1.3320051146838074e-18
1706302976.5681896,1555,9.130424771239148e-19
1706302976.7751327,1556,1.3071488542644718e-18
1706302978.0235257,1562,1.238175019272197e-18
1706302978.234858,1563,1.2413765184355069e-18
1706302979.4782379,1569,1.4112242019480109e-18
1706302979.6882699,1570,1.1537922570341312e-18
1706302981.5545652,1579,1.3818821410668002e-18
1706302982.3998199,1583,1.2548639051183372e-18
1706302982.8165634,1585,1.4356742132890064e-18
1706302983.665115,1589,1.3653479379952074e-18
